sequence,visit_day,packet_wave,priority,request_identifier,request_type,duplicate_rows_collapsed,chapters,cluster_titles,source_parts,offices,related_request_waves,request_reason,first_onsite_action,onsite_actions,target_terms,combined_why_it_matters,dedupe_note,capture_exact_folder_title,capture_box_or_container,capture_folder_date_span,capture_withdrawal_sheet,capture_item_title,capture_item_date,capture_sender_recipient,capture_document_type,capture_classification_markings,capture_page_range,capture_attachments,capture_volume_boundary,candidate_disposition,final_source_note,compiler_notes,packet_source_note
46,Day 1,Day 1 / Packet 42,A,OA/ID 3333,OA/ID request,1,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",Part 1,Defense Policy / Robert Bell and Steven Andreasen,Day 1 / 02.07,"Request for NPT and CTBT: PRD-19, CTB negotiations, and nuclear-testing policy.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.; Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.",Comprehensive Test Ban; CTB; hydronuclear; nuclear testing; PRD-19; verification,The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 3333. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
47,Day 1,Day 1 / Packet 43,A,OA/ID 3381,OA/ID request,2,Chemical and Biological Weapons; Volume Control,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization; Speechwriting backtrace for public statements","Part 4; Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting; Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Day 1 / 06.11; Defer / 13.06,"Request once; supports Chemical and Biological Weapons, Volume Control across 2 staged clusters.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",BWC; chemical demilitarization; CTBT; CWC; North Korea; NPT; public statement; Russian BW; Russian CW; speechwriting; START II; verification,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.; This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Collapsed 2 queue rows into one reading-room request for OA/ID 3381.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, Parts 1, 3, and 4, OA/ID 3381. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
48,Day 1,Day 1 / Packet 44,A,OA/ID 3390,OA/ID request,1,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization","Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Day 1 / 06.08,"Request for Chemical and Biological Weapons: CWC ratification, BWC, Russian BW/CW, and chemical demilitarization.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",BWC; chemical demilitarization; CWC; Russian BW; Russian CW; verification,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 3390. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
49,Day 1,Day 1 / Packet 45,A,OA/ID 3393,OA/ID request,1,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization","Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Day 1 / 06.09,"Request for Chemical and Biological Weapons: CWC ratification, BWC, Russian BW/CW, and chemical demilitarization.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",BWC; chemical demilitarization; CWC; Russian BW; Russian CW; verification,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 3393. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
50,Day 1,Day 1 / Packet 46,A,OA/ID 3495,OA/ID request,2,Nonproliferation Regimes; Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files; Legal Advisor treaty and sanctions stack","Part 3; Parts 2, 3, and 4","Legal Advisor / Baker, Krass, DeRosa, Sparks; Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs",Day 1 / 08.11; Day 2 / 12.14,"Request once; supports Nonproliferation Regimes, Regional Proliferation Cases across 2 staged clusters.",Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; chemical weapons; CTBT; CWC; HEU; Iran; Iran missile sanctions; Iraq; missile sanctions; START II; UNSCOM; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.; This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Collapsed 2 queue rows into one reading-room request for OA/ID 3495.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, Parts 2, 3, and 4, OA/ID 3495. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
51,Day 1,Day 1 / Packet 47,A,OA/ID 3499,OA/ID request,2,Nonproliferation Regimes; Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files; Legal Advisor treaty and sanctions stack","Part 3; Parts 2, 3, and 4","Legal Advisor / Baker, Krass, DeRosa, Sparks; Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs",Day 1 / 08.12; Day 2 / 12.15,"Request once; supports Nonproliferation Regimes, Regional Proliferation Cases across 2 staged clusters.",Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; chemical weapons; CTBT; CWC; HEU; Iran; Iran missile sanctions; Iraq; missile sanctions; START II; UNSCOM; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.; This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Collapsed 2 queue rows into one reading-room request for OA/ID 3499.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, Parts 2, 3, and 4, OA/ID 3499. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
52,Day 1,Day 1 / Packet 48,A,OA/ID 3592,OA/ID request,1,Cooperative Threat Reduction and HEU Agreement,"DOE safeguards, Russian nuclear control, and HEU implementation paths",Part 1,"Defense Policy / Robert Bell, Steven Andreasen, Betsy Pimentel, and Edward Bolton",Day 1 / 05.02,"Request for Cooperative Threat Reduction and HEU Agreement: DOE safeguards, Russian nuclear control, and HEU implementation paths.",Check OA/ID 2818 nuclear summit notification and MTCR/export-control folders for overlap with HEU or nuclear-materials security.,Check OA/ID 2818 nuclear summit notification and MTCR/export-control folders for overlap with HEU or nuclear-materials security.; Pull OA/ID 3592 DOE Safeguards/Security folders [2]-[5].; Pull OA/ID 381 Russian Nuclear Control August 1993 and DoE 1-KT Non-Proliferation Experiment folders.,DOE; HEU; nuclear security; Russian nuclear control; safeguards,"CTR/HEU selection will be weak without DOE, safeguards, nuclear-control, and transparency records.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 3592. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
53,Day 1,Day 1 / Packet 49,A,OA/ID 3850,OA/ID request,2,NPT and CTBT,"NPT extension briefing and rollout files; PRD-19, CTB negotiations, and nuclear-testing policy",Part 1; Parts 1 and 4,Defense Policy / Robert Bell and Steven Andreasen; Defense Policy / Steven Andreasen; Staff Director / Nancy Soderberg,Day 1 / 02.08; Day 1 / 03.01,Request once; supports NPT and CTBT across 2 staged clusters.,"Flag any Egypt, South Africa, Ukraine, NAM, Article VI, or negative-security-assurance material for item-level selection.","Flag any Egypt, South Africa, Ukraine, NAM, Article VI, or negative-security-assurance material for item-level selection.; For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.; Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Pull OA/ID 1406 NPT Guidance/Themes, NPT February 1995, and NPT Readiness/Rollout.; Pull OA/ID 3850 Nonproliferation Treaty Briefing Book 1995 folders [2]-[7].; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.",briefing book; Comprehensive Test Ban; CTB; guidance; hydronuclear; NPT; nuclear testing; PRD-19; readiness; rollout; themes; verification,The public site already has CTBT statements. These folders are the likely internal decision record behind them.; This is the best visible folder-level path from public NPT extension statements to internal policy guidance.,Collapsed 2 queue rows into one reading-room request for OA/ID 3850.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, Parts 1 and 4, OA/ID 3850. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
54,Day 2,Day 2 / Packet 01,B,OA/ID 938,OA/ID request,1,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer","Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs",Day 2 / 11.01,"Request for Conventional Arms and Landmines: Landmines, NSC policy papers, demining, and conventional arms transfer.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",APL; demining; landmines; NSC policy papers; Ottawa; outside agencies,"The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 938. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
55,Day 2,Day 2 / Packet 02,B,OA/ID 1161,OA/ID request,1,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer","Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs",Day 2 / 11.02,"Request for Conventional Arms and Landmines: Landmines, NSC policy papers, demining, and conventional arms transfer.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",APL; demining; landmines; NSC policy papers; Ottawa; outside agencies,"The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 1161. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
56,Day 2,Day 2 / Packet 03,B,OA/ID 1721,OA/ID request,1,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer","Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs",Day 2 / 11.04,"Request for Conventional Arms and Landmines: Landmines, NSC policy papers, demining, and conventional arms transfer.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",APL; demining; landmines; NSC policy papers; Ottawa; outside agencies,"The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 1721. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
57,Day 2,Day 2 / Packet 04,B,OA/ID 2193,OA/ID request,1,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer","Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs",Day 2 / 11.05,"Request for Conventional Arms and Landmines: Landmines, NSC policy papers, demining, and conventional arms transfer.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",APL; demining; landmines; NSC policy papers; Ottawa; outside agencies,"The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 2193. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
58,Day 2,Day 2 / Packet 05,B,OA/ID 2251,OA/ID request,1,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 2 / 12.02,Request for Nonproliferation Regimes: Legal Advisor treaty and sanctions stack.,Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; CTBT; CWC; HEU; Iran missile sanctions; START II; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 2251. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
59,Day 2,Day 2 / Packet 06,B,OA/ID 2252,OA/ID request,1,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 2 / 12.03,Request for Nonproliferation Regimes: Legal Advisor treaty and sanctions stack.,Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; CTBT; CWC; HEU; Iran missile sanctions; START II; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 2252. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
60,Day 2,Day 2 / Packet 07,B,OA/ID 2498,OA/ID request,1,Counterproliferation,Intelligence Programs counterproliferation and restricted-group files,Part 2,"Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel",Day 2 / 10.02,Request for Counterproliferation: Intelligence Programs counterproliferation and restricted-group files.,"Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.","Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",counterproliferation; Iran; Iraq; nonproliferation; North Korea nuclear; restricted group,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, OA/ID 2498. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
61,Day 2,Day 2 / Packet 08,B,OA/ID 2523,OA/ID request,1,Counterproliferation,Intelligence Programs counterproliferation and restricted-group files,Part 2,"Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel",Day 2 / 10.03,Request for Counterproliferation: Intelligence Programs counterproliferation and restricted-group files.,"Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.","Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",counterproliferation; Iran; Iraq; nonproliferation; North Korea nuclear; restricted group,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, OA/ID 2523. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
62,Day 2,Day 2 / Packet 09,B,OA/ID 2526,OA/ID request,1,Counterproliferation,Intelligence Programs counterproliferation and restricted-group files,Part 2,"Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel",Day 2 / 10.04,Request for Counterproliferation: Intelligence Programs counterproliferation and restricted-group files.,"Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.","Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",counterproliferation; Iran; Iraq; nonproliferation; North Korea nuclear; restricted group,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, OA/ID 2526. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
63,Day 2,Day 2 / Packet 10,B,OA/ID 2549,OA/ID request,1,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer","Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs",Day 2 / 11.06,"Request for Conventional Arms and Landmines: Landmines, NSC policy papers, demining, and conventional arms transfer.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",APL; demining; landmines; NSC policy papers; Ottawa; outside agencies,"The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 2549. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
64,Day 2,Day 2 / Packet 11,B,OA/ID 2600,OA/ID request,1,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 2 / 12.05,Request for Nonproliferation Regimes: Legal Advisor treaty and sanctions stack.,Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; CTBT; CWC; HEU; Iran missile sanctions; START II; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 2600. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
65,Day 2,Day 2 / Packet 12,B,OA/ID 2639,OA/ID request,1,Counterproliferation,Intelligence Programs counterproliferation and restricted-group files,Part 2,"Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel",Day 2 / 10.05,Request for Counterproliferation: Intelligence Programs counterproliferation and restricted-group files.,"Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.","Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",counterproliferation; Iran; Iraq; nonproliferation; North Korea nuclear; restricted group,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, OA/ID 2639. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
66,Day 2,Day 2 / Packet 13,B,OA/ID 3110,OA/ID request,1,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 2 / 12.06,Request for Nonproliferation Regimes: Legal Advisor treaty and sanctions stack.,Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; CTBT; CWC; HEU; Iran missile sanctions; START II; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3110. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
67,Day 2,Day 2 / Packet 14,B,OA/ID 3111,OA/ID request,1,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 2 / 12.07,Request for Nonproliferation Regimes: Legal Advisor treaty and sanctions stack.,Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; CTBT; CWC; HEU; Iran missile sanctions; START II; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3111. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
68,Day 2,Day 2 / Packet 15,B,OA/ID 3114,OA/ID request,1,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 2 / 12.09,Request for Nonproliferation Regimes: Legal Advisor treaty and sanctions stack.,Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; CTBT; CWC; HEU; Iran missile sanctions; START II; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3114. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
