sequence,queue,readiness,next_action,required_verification,date,chapter,priority,title,source_type,repository,collection,identifier,level,confidence,compiler_risk,source_note,source_url,digital_object_url,summary
78,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995-05-10,Nonproliferation Regimes,High,Joint Statement on Nonproliferation,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1995-book1-doc-pg669,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book I, pp. 669-670, ""Joint Statement on Nonproliferation""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1995-book1/PPP-1995-book1-doc-pg669,https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg669.pdf,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book I, pp. 669-670, ""Joint Statement on Nonproliferation""; GovInfo."
79,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1993-09-27,Counterproliferation,High,Fact Sheet on Nonproliferation and Export Control Policy,Archived White House,Archived White House,Clinton administration public record,1993-09-27 White House fact sheet,published primary source,,,"Source: Archived White House, Clinton administration public record, 1993-09-27 White House fact sheet. Title: ""Fact Sheet on Nonproliferation and Export Control Policy"". Published primary source.",https://www.rertr.anl.gov/REFDOCS/PRES93NP.html,,"Primary-source White House fact sheet directing greater attention to proliferation in intelligence collection, defense planning, force structure, and military planning against WMD and missile threats."
80,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1993-12-07,Counterproliferation,High,PDD/NSC-18 Defense Counterproliferation Initiative,Department of Defense text,Department of Defense text,Clinton administration public record,PDD/NSC-18,published primary source,,,"Source: Department of Defense text, Clinton administration public record, PDD/NSC-18. Title: ""PDD/NSC-18 Defense Counterproliferation Initiative"". Published primary source.",https://irp.fas.org/offdocs/pdd18.htm,,"Secretary Les Aspin's launch of the Defense Counterproliferation Initiative under PDD/NSC-18, covering military planning, theater missile defense, biological defense, and intelligence support."
81,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1993-12-15,Counterproliferation,High,Remarks on the Resignation of Les Aspin as Secretary of Defense,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1993-book2-doc-pg2177,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1993, Book II, p. 2177, ""Remarks on the Resignation of Les Aspin as Secretary of Defense""; GovInfo. Published primary source.",https://www.govinfo.gov/app/details/PPP-1993-book2/PPP-1993-book2-doc-pg2177,https://www.govinfo.gov/content/pkg/PPP-1993-book2/pdf/PPP-1993-book2-doc-pg2177.pdf,Clinton public statement crediting Secretary Aspin's leadership and explicitly noting his new counterproliferation initiative.
82,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1994-05-01,Counterproliferation,High,Nonproliferation and counterproliferation activities and programs,DOD technical report,OSTI,Office of the Deputy Secretary of Defense,OSTI ID 377259,published primary source,,,"Source: OSTI, Office of the Deputy Secretary of Defense, OSTI ID 377259. Title: ""Nonproliferation and counterproliferation activities and programs"". Published primary source.",https://www.osti.gov/biblio/377259,,"FY1994 defense authorization report surveying existing, planned, and proposed U.S. capabilities and technologies for countering proliferation and NBC terrorism."
83,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1994-05-01,Counterproliferation,High,Nonproliferation and counterproliferation activities and programs,DOD technical report,OSTI,Office of the Deputy Secretary of Defense,OSTI ID 377259,published primary source,High,"Already listed; promoted here as an explicit bridge to State, Energy, IC, JCS, and ACDA source gaps.","Source: OSTI, Office of the Deputy Secretary of Defense, OSTI ID 377259. Title: ""Nonproliferation and counterproliferation activities and programs"". Published primary source.",https://www.osti.gov/biblio/377259,,"The FY1994 NDAA-required interagency report identifies State, Defense, Energy, the Intelligence Community, JCS, and ACDA as counterproliferation source pools to pursue."
84,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995-10-27,Counterproliferation,Medium,Counterproliferation: A National Security Priority,DOD speech text,OSTI,Office of the Under Secretary of Defense (Acquisition),OSTI ID 612135,published primary source,,,"Source: OSTI, Office of the Under Secretary of Defense (Acquisition), OSTI ID 612135. Title: ""Counterproliferation: A National Security Priority"". Published primary source.",https://www.osti.gov/biblio/612135,,Paul Kaminski speech text linking Clinton's 1995 national security strategy to effective capabilities against WMD and missile-delivery threats.
85,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-02-22,Counterproliferation,Medium,Worldwide Threat Assessment and proliferation threat record,Intelligence-community source lead,CIA / congressional testimony trail,DCI threat assessment source path,DCI Deutch threat-assessment lead,source-path lead,Review,"Non-official mirror used as locator; replace with official CIA, SSCI, or GovInfo text before final use.","Source: CIA / congressional testimony trail, DCI threat assessment source path, DCI Deutch threat-assessment lead. Title: ""Worldwide Threat Assessment and proliferation threat record"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",https://irp.fas.org/threat/wmd.htm,,"Locator for the intelligence-assessment side of counterproliferation; this remains a source gap until an official CIA, SSCI, or GovInfo copy is located."
86,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1994-10-18,Regional Proliferation Cases,High,Remarks on the Nuclear Agreement With North Korea,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1994-book2-doc-pg1794,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1994, Book II, pp. 1794-1795, ""Remarks on the Nuclear Agreement With North Korea""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1994-book2/PPP-1994-book2-doc-pg1794,https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1794.pdf,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1994, Book II, pp. 1794-1795, ""Remarks on the Nuclear Agreement With North Korea""; GovInfo."
87,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1993-11-23,Chemical and Biological Weapons,High,"Chemical Weapons Convention, Treaty Document 103-21",Congressional treaty document,Congress.gov,Senate Treaty Documents,Treaty Doc. 103-21,published primary source metadata,High,"Congress.gov does not provide pre-1995 full treaty text, but the treaty-document metadata and Senate action trail are authoritative.","Source: Congress.gov, Senate Treaty Documents, Treaty Doc. 103-21. Title: ""Chemical Weapons Convention, Treaty Document 103-21"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/treaty-document/103rd-congress/21/document-text,,"Formal Senate treaty-document trail for the CWC, needed to anchor the 1993 submission and 1996 ratification debate record."
88,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995-02-16,Chemical and Biological Weapons,High,Letter to Congress on chemical and biological weapons,Archived White House,Archived White House,Clinton administration public record,1995-02-16 CBW report letter,published primary source,,,"Source: Archived White House, Clinton administration public record, 1995-02-16 CBW report letter. Title: ""Letter to Congress on chemical and biological weapons"". Published primary source.",https://clintonwhitehouse6.archives.gov/1995/02/1995-02-16-letter-to-congress-on-chemical-and-biological-weapons.html,,"Primary-source lead for CWC submission and PrepCom work, the 1994 BWC Special Conference, and the Ad Hoc Group mandate."
89,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-09-11,Chemical and Biological Weapons,High,The Chemical Weapons Convention Executive Report,Senate executive report,Congress.gov,Senate Foreign Relations Committee,Ex. Rept. 104-33,published primary source,High,Essential legislative record; pair with NSC/ACDA/State files on CWC conditions and implementation.,"Source: Congress.gov, Senate Foreign Relations Committee, Ex. Rept. 104-33. Title: ""The Chemical Weapons Convention Executive Report"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-report/104th-congress/executive-report/33/1,,"Senate Foreign Relations report for CWC ratification, including committee history, verification questions, and administration testimony."
90,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-11-12,Chemical and Biological Weapons,High,Letter on actions against weapons of mass destruction,Archived White House,Archived White House,Clinton administration public record,1996-11-12 WMD/CBW report letter,published primary source,,,"Source: Archived White House, Clinton administration public record, 1996-11-12 WMD/CBW report letter. Title: ""Letter on actions against weapons of mass destruction"". Published primary source.",https://clintonwhitehouse6.archives.gov/1996/11/1996-11-12-letter-on-actions-vs-mass-destruction-weapons.html,,"Late-1996 primary-source lead for CWC ratification, BWC protocol work, Australia Group export controls, and CBW terrorism concerns."
91,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-04-25,Chemical and Biological Weapons,Medium,Anthony Lake address on the arms-control agenda,Archived White House,Archived White House,Clinton administration public record,1996-04-25 Fletcher School address,published primary source,,,"Source: Archived White House, Clinton administration public record, 1996-04-25 Fletcher School address. Title: ""Anthony Lake address on the arms-control agenda"". Published primary source.",https://clintonwhitehouse6.archives.gov/1996/04/1996-04-25-anthony-lake-address-to-the-fletcher-school.html,,"National Security Advisor address linking the 1996 agenda to BWC strengthening, CTBT signature, and CWC ratification."
92,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-11-25,Chemical and Biological Weapons,Medium,Biological Weapons Convention review-conference source trail,Congressional Record,Congress.gov,"Congressional Record, Senate",BWC Fourth Review Conference lead,published primary source,Review,1997 printed context for a November-December 1996 conference; find the contemporaneous State/ACDA cable or BWC conference record before selection.,"Source: Congress.gov, Congressional Record, Senate, BWC Fourth Review Conference lead. Title: ""Biological Weapons Convention review-conference source trail"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-record/volume-143/issue-159/senate-section/article/S12504-4,,Locator for the BWC strengthening lane and the November-December 1996 Fourth Review Conference.
93,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1994-09-26,Conventional Arms and Landmines,High,Fact Sheet: U.S. Policy on a Landmine Control Regime,Archived White House,Clinton White House archive,Archived White House fact sheets,1994-09-26 landmine fact sheet,published primary source,High,Public anchor; pair with NSC/State/DOD policy records and CCW negotiating files.,"Source: Clinton White House archive, Archived White House fact sheets, 1994-09-26 landmine fact sheet. Title: ""Fact Sheet: U.S. Policy on a Landmine Control Regime"". Published primary source.",https://clintonwhitehouse6.archives.gov/1994/09/1994-09-26-fact-sheet-us-policy-on-a-landmine-control-regime-a.html,,White House fact sheet on the landmine control regime initiative and anti-personnel landmine export moratorium.
94,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995,Conventional Arms and Landmines,Medium,Convention on Prohibitions or Restrictions on the Use of Certain Conventional Weapons,Senate executive report,Congress.gov,Senate Foreign Relations Committee,Ex. Rept. 104-1,published primary source,Medium,Treaty context; use to structure CCW/Protocol II follow-up searches.,"Source: Congress.gov, Senate Foreign Relations Committee, Ex. Rept. 104-1. Title: ""Convention on Prohibitions or Restrictions on the Use of Certain Conventional Weapons"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-report/104th-congress/executive-report/1/1,,"Senate report on the CCW, including Protocol II on mines, booby traps, and other devices."
95,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-06-14,Conventional Arms and Landmines,Medium,President Clinton's Decision on Landmine Use,Congressional Record,Congress.gov,"Congressional Record, Senate","Cong. Rec. Vol. 142, No. 88",published primary source,Medium,"Use as congressional reaction; locate underlying White House, DOD, and State decision records.","Source: Congress.gov, Congressional Record, Senate, Cong. Rec. Vol. 142, No. 88. Title: ""President Clinton's Decision on Landmine Use"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-record/volume-142/issue-88/senate-section/article/S6311-3,,"Congressional record lead for the 1996 landmine-use policy decision, expanding the conventional chapter beyond one NARA file-unit hit."
