sequence,selection_gate,readiness_queue,next_action,required_verification,date_or_span,chapter,priority,title,source_type,repository,collection,identifier,level,confidence,compiler_risk,current_source_note,current_citation_status,source_url,digital_object_url,proposed_document_number,selection_decision,final_document_date,final_document_title,document_type,author_or_origin,recipient_or_audience,final_repository,final_collection_or_file_path,final_box_folder_or_identifier,classification_markings,draft_final_action_status,pagination,attachments_enclosures,editorial_note_needed,cross_references,declassification_or_withholding_notes,final_source_note,compiler_notes
79,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1993-09-27,Counterproliferation,High,Fact Sheet on Nonproliferation and Export Control Policy,Archived White House,Archived White House,Clinton administration public record,1993-09-27 White House fact sheet,published primary source,,,"Source: Archived White House, Clinton administration public record, 1993-09-27 White House fact sheet. Title: ""Fact Sheet on Nonproliferation and Export Control Policy"". Published primary source.",Published primary source.,https://www.rertr.anl.gov/REFDOCS/PRES93NP.html,,,,,,,,,,,,,,,,,,,,
80,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1993-12-07,Counterproliferation,High,PDD/NSC-18 Defense Counterproliferation Initiative,Department of Defense text,Department of Defense text,Clinton administration public record,PDD/NSC-18,published primary source,,,"Source: Department of Defense text, Clinton administration public record, PDD/NSC-18. Title: ""PDD/NSC-18 Defense Counterproliferation Initiative"". Published primary source.",Published primary source.,https://irp.fas.org/offdocs/pdd18.htm,,,,,,,,,,,,,,,,,,,,
81,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1993-12-15,Counterproliferation,High,Remarks on the Resignation of Les Aspin as Secretary of Defense,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1993-book2-doc-pg2177,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1993, Book II, p. 2177, ""Remarks on the Resignation of Les Aspin as Secretary of Defense""; GovInfo. Published primary source.",Published primary source.,https://www.govinfo.gov/app/details/PPP-1993-book2/PPP-1993-book2-doc-pg2177,https://www.govinfo.gov/content/pkg/PPP-1993-book2/pdf/PPP-1993-book2-doc-pg2177.pdf,,,,,,,,,,,,,,,,,,,
82,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1994-05-01,Counterproliferation,High,Nonproliferation and counterproliferation activities and programs,DOD technical report,OSTI,Office of the Deputy Secretary of Defense,OSTI ID 377259,published primary source,,,"Source: OSTI, Office of the Deputy Secretary of Defense, OSTI ID 377259. Title: ""Nonproliferation and counterproliferation activities and programs"". Published primary source.",Published primary source.,https://www.osti.gov/biblio/377259,,,,,,,,,,,,,,,,,,,,
83,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1994-05-01,Counterproliferation,High,Nonproliferation and counterproliferation activities and programs,DOD technical report,OSTI,Office of the Deputy Secretary of Defense,OSTI ID 377259,published primary source,High,"Already listed; promoted here as an explicit bridge to State, Energy, IC, JCS, and ACDA source gaps.","Source: OSTI, Office of the Deputy Secretary of Defense, OSTI ID 377259. Title: ""Nonproliferation and counterproliferation activities and programs"". Published primary source.",Published primary source.,https://www.osti.gov/biblio/377259,,,,,,,,,,,,,,,,,,,,
84,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995-10-27,Counterproliferation,Medium,Counterproliferation: A National Security Priority,DOD speech text,OSTI,Office of the Under Secretary of Defense (Acquisition),OSTI ID 612135,published primary source,,,"Source: OSTI, Office of the Under Secretary of Defense (Acquisition), OSTI ID 612135. Title: ""Counterproliferation: A National Security Priority"". Published primary source.",Published primary source.,https://www.osti.gov/biblio/612135,,,,,,,,,,,,,,,,,,,,
85,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-02-22,Counterproliferation,Medium,Worldwide Threat Assessment and proliferation threat record,Intelligence-community source lead,CIA / congressional testimony trail,DCI threat assessment source path,DCI Deutch threat-assessment lead,source-path lead,Review,"Non-official mirror used as locator; replace with official CIA, SSCI, or GovInfo text before final use.","Source: CIA / congressional testimony trail, DCI threat assessment source path, DCI Deutch threat-assessment lead. Title: ""Worldwide Threat Assessment and proliferation threat record"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",Source-path lead; replace with an item-level archival citation before final FRUS selection.,https://irp.fas.org/threat/wmd.htm,,,,,,,,,,,,,,,,,,,,
86,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1994-10-18,Regional Proliferation Cases,High,Remarks on the Nuclear Agreement With North Korea,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1994-book2-doc-pg1794,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1994, Book II, pp. 1794-1795, ""Remarks on the Nuclear Agreement With North Korea""; GovInfo.",Published primary source.,https://www.govinfo.gov/app/details/PPP-1994-book2/PPP-1994-book2-doc-pg1794,https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1794.pdf,,,,,,,,,,,,,,,,,,,
87,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1993-11-23,Chemical and Biological Weapons,High,"Chemical Weapons Convention, Treaty Document 103-21",Congressional treaty document,Congress.gov,Senate Treaty Documents,Treaty Doc. 103-21,published primary source metadata,High,"Congress.gov does not provide pre-1995 full treaty text, but the treaty-document metadata and Senate action trail are authoritative.","Source: Congress.gov, Senate Treaty Documents, Treaty Doc. 103-21. Title: ""Chemical Weapons Convention, Treaty Document 103-21"". Published primary-source record; use with internal policy files before final document selection.",Published primary-source record; use with internal policy files before final document selection.,https://www.congress.gov/treaty-document/103rd-congress/21/document-text,,,,,,,,,,,,,,,,,,,,
88,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995-02-16,Chemical and Biological Weapons,High,Letter to Congress on chemical and biological weapons,Archived White House,Archived White House,Clinton administration public record,1995-02-16 CBW report letter,published primary source,,,"Source: Archived White House, Clinton administration public record, 1995-02-16 CBW report letter. Title: ""Letter to Congress on chemical and biological weapons"". Published primary source.",Published primary source.,https://clintonwhitehouse6.archives.gov/1995/02/1995-02-16-letter-to-congress-on-chemical-and-biological-weapons.html,,,,,,,,,,,,,,,,,,,,
89,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-09-11,Chemical and Biological Weapons,High,The Chemical Weapons Convention Executive Report,Senate executive report,Congress.gov,Senate Foreign Relations Committee,Ex. Rept. 104-33,published primary source,High,Essential legislative record; pair with NSC/ACDA/State files on CWC conditions and implementation.,"Source: Congress.gov, Senate Foreign Relations Committee, Ex. Rept. 104-33. Title: ""The Chemical Weapons Convention Executive Report"". Published primary-source record; use with internal policy files before final document selection.",Published primary-source record; use with internal policy files before final document selection.,https://www.congress.gov/congressional-report/104th-congress/executive-report/33/1,,,,,,,,,,,,,,,,,,,,
90,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-11-12,Chemical and Biological Weapons,High,Letter on actions against weapons of mass destruction,Archived White House,Archived White House,Clinton administration public record,1996-11-12 WMD/CBW report letter,published primary source,,,"Source: Archived White House, Clinton administration public record, 1996-11-12 WMD/CBW report letter. Title: ""Letter on actions against weapons of mass destruction"". Published primary source.",Published primary source.,https://clintonwhitehouse6.archives.gov/1996/11/1996-11-12-letter-on-actions-vs-mass-destruction-weapons.html,,,,,,,,,,,,,,,,,,,,
91,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-04-25,Chemical and Biological Weapons,Medium,Anthony Lake address on the arms-control agenda,Archived White House,Archived White House,Clinton administration public record,1996-04-25 Fletcher School address,published primary source,,,"Source: Archived White House, Clinton administration public record, 1996-04-25 Fletcher School address. Title: ""Anthony Lake address on the arms-control agenda"". Published primary source.",Published primary source.,https://clintonwhitehouse6.archives.gov/1996/04/1996-04-25-anthony-lake-address-to-the-fletcher-school.html,,,,,,,,,,,,,,,,,,,,
92,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-11-25,Chemical and Biological Weapons,Medium,Biological Weapons Convention review-conference source trail,Congressional Record,Congress.gov,"Congressional Record, Senate",BWC Fourth Review Conference lead,published primary source,Review,1997 printed context for a November-December 1996 conference; find the contemporaneous State/ACDA cable or BWC conference record before selection.,"Source: Congress.gov, Congressional Record, Senate, BWC Fourth Review Conference lead. Title: ""Biological Weapons Convention review-conference source trail"". Published primary-source record; use with internal policy files before final document selection.",Published primary-source record; use with internal policy files before final document selection.,https://www.congress.gov/congressional-record/volume-143/issue-159/senate-section/article/S12504-4,,,,,,,,,,,,,,,,,,,,
93,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1994-09-26,Conventional Arms and Landmines,High,Fact Sheet: U.S. Policy on a Landmine Control Regime,Archived White House,Clinton White House archive,Archived White House fact sheets,1994-09-26 landmine fact sheet,published primary source,High,Public anchor; pair with NSC/State/DOD policy records and CCW negotiating files.,"Source: Clinton White House archive, Archived White House fact sheets, 1994-09-26 landmine fact sheet. Title: ""Fact Sheet: U.S. Policy on a Landmine Control Regime"". Published primary source.",Published primary source.,https://clintonwhitehouse6.archives.gov/1994/09/1994-09-26-fact-sheet-us-policy-on-a-landmine-control-regime-a.html,,,,,,,,,,,,,,,,,,,,
94,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995,Conventional Arms and Landmines,Medium,Convention on Prohibitions or Restrictions on the Use of Certain Conventional Weapons,Senate executive report,Congress.gov,Senate Foreign Relations Committee,Ex. Rept. 104-1,published primary source,Medium,Treaty context; use to structure CCW/Protocol II follow-up searches.,"Source: Congress.gov, Senate Foreign Relations Committee, Ex. Rept. 104-1. Title: ""Convention on Prohibitions or Restrictions on the Use of Certain Conventional Weapons"". Published primary-source record; use with internal policy files before final document selection.",Published primary-source record; use with internal policy files before final document selection.,https://www.congress.gov/congressional-report/104th-congress/executive-report/1/1,,,,,,,,,,,,,,,,,,,,
95,Locator or date control only,Date/control anchor,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-06-14,Conventional Arms and Landmines,Medium,President Clinton's Decision on Landmine Use,Congressional Record,Congress.gov,"Congressional Record, Senate","Cong. Rec. Vol. 142, No. 88",published primary source,Medium,"Use as congressional reaction; locate underlying White House, DOD, and State decision records.","Source: Congress.gov, Congressional Record, Senate, Cong. Rec. Vol. 142, No. 88. Title: ""President Clinton's Decision on Landmine Use"". Published primary-source record; use with internal policy files before final document selection.",Published primary-source record; use with internal policy files before final document selection.,https://www.congress.gov/congressional-record/volume-142/issue-88/senate-section/article/S6311-3,,,,,,,,,,,,,,,,,,,,
